name,url,specialties,hospitals,able_to_book,appointments_next_4_weeks,first_available_days_away
"/consultants/mr-marc-lamah","https://www.nuffieldhealth.com/consultants/mr-marc-lamah","","","Unknown","",""
"Assistant Professor Andrew Carrothers","https://www.nuffieldhealth.com/consultants/mr-andrew-carrothers","Orthopaedic surgery","Cambridge Hospital","Yes","4","9"
"Colonel David Hinsley L/RAMC","https://www.nuffieldhealth.com/consultants/colonel-david-hinsley-l-ramc","Orthopaedic surgery","Plymouth Hospital","Yes","7","2"
"Dr  Abdullah Mawas","https://www.nuffieldhealth.com/consultants/dr-abdullah-mawas","Gastroenterology; Gastrointestinal surgery","Ipswich Hospital","Yes","46","3"
"Dr  Ajit  Menon","https://www.nuffieldhealth.com/consultants/dr-ajit-menon","Rheumatology","North Staffordshire Hospital","Yes","6","15"
"Dr  Alexandra  Williams","https://www.nuffieldhealth.com/consultants/dr-alexandra-williams","General Practice (GP)","Tunbridge Wells Hospital","No","0","0"
"Dr  Amit  Chattree","https://www.nuffieldhealth.com/consultants/dr-amit-chattree","Gastroenterology","Newcastle upon Tyne Hospital","Yes","4","10"
"Dr  An  Janssen","https://www.nuffieldhealth.com/consultants/dr-an-janssen","General Practice (GP)","Taunton Hospital","Yes","17","2"
"Dr  Andrew  Michell","https://www.nuffieldhealth.com/consultants/dr-andrew-michell","Clinical Neurophysiology","Cambridge Hospital","No","0","0"
"Dr  Andrew Stanton","https://www.nuffieldhealth.com/consultants/dr-andrew-stanton","Respiratory Medicine","Newcastle upon Tyne Hospital","Yes","10","2"
"Dr  Anish George","https://www.nuffieldhealth.com/consultants/dr-anish-george","Cardiology","Exeter Hospital","Yes","0","0"
"Dr  Anita  Amin","https://www.nuffieldhealth.com/consultants/dr-anita-amin","Dermatology","Brighton Hospital","Yes","0","0"
"Dr  Aruni  Ranasinghe","https://www.nuffieldhealth.com/consultants/dr-aruni-ranasinghe","Dermatology","Cambridge Hospital","No","0","0"
"Dr  Aspasia Soultati","https://www.nuffieldhealth.com/consultants/dr-aspasia-soultati","Medical Oncology","Brighton Hospital","No","0","0"
"Dr  Basil Ridha","https://www.nuffieldhealth.com/consultants/dr-basil-ridha","Neurology","Haywards Heath Hospital; Brighton Hospital","No","0","0"
"Dr  Baskar Sekar","https://www.nuffieldhealth.com/consultants/dr-baskar-sekar","Cardiology","Cheltenham Hospital","Yes","8","13"
"Dr  Benjamin  Simpson","https://www.nuffieldhealth.com/consultants/dr-benjamin-simpson","Neurology","Leicester Hospital","Yes","0","0"
"Dr  Bhavisha  Vasta","https://www.nuffieldhealth.com/consultants/dr-bhavisha-vasta","Rheumatology","Warwickshire Hospital; Cheltenham Hospital","Yes","21","7"
"Dr  Carla  Perna","https://www.nuffieldhealth.com/consultants/dr-carla-perna","Clinical Oncology","Guildford Hospital","No","0","0"
"Dr  Catriona  Hardie","https://www.nuffieldhealth.com/consultants/dr-catriona-hardie","Gynaecology","Glasgow Hospital","Yes","3","22"
"Dr  Charles  Dixon","https://www.nuffieldhealth.com/consultants/dr-charles-dixon","General Psychiatry","Exeter Hospital","No","0","0"
"Dr  Christopher Boos","https://www.nuffieldhealth.com/consultants/dr-christopher-boos","Cardiology; General (internal) Medicine","Bournemouth Hospital","No","0","0"
"Dr  Christopher David  Steadman","https://www.nuffieldhealth.com/consultants/dr-christopher-david-steadman","Cardiology; General (internal) Medicine","Bournemouth Hospital","Yes","40","2"
"Dr  Christopher H  Critoph","https://www.nuffieldhealth.com/consultants/dr-christopher-h-critoph","Cardiology","Bournemouth Hospital","Yes","8","7"
"Dr  Cinzia Pastacaldi","https://www.nuffieldhealth.com/consultants/dr-cinzia-pastacaldi","Allergy","Brighton Hospital","Yes","0","0"
"Dr  Claire Martin","https://www.nuffieldhealth.com/consultants/dr-claire-martin","Cardiology","Cambridge Hospital","Yes","0","0"
"Dr  Deb (Debabrata) Majumdar","https://www.nuffieldhealth.com/consultants/dr-deb-debabrata-majumdar","Gastroenterology; General (internal) Medicine","Guildford Hospital; Woking Hospital","Yes","32","5"
"Dr  Debi  Ray","https://www.nuffieldhealth.com/consultants/dr-debi-ray","Paediatrics","Brentwood Hospital; The Holly Hospital","Yes","250","1"
"Dr  Donah  Zachariah","https://www.nuffieldhealth.com/consultants/dr-donah-zachariah","Cardiology","Cambridge Hospital","Yes","4","14"
"Dr  Edward Davies","https://www.nuffieldhealth.com/consultants/dr-edward-davies","Cardiology","Plymouth Hospital","No","0","0"
"Dr  Emily  Lord","https://www.nuffieldhealth.com/consultants/dr-emily-lord","Sexual Health","Oxford, The Manor Hospital","Yes","0","0"
"Dr  Faheem  Latheef","https://www.nuffieldhealth.com/consultants/dr-faheem-latheef","Dermatology; Allergy","Leeds Hospital","No","0","0"
"Dr  Fiona Cowan","https://www.nuffieldhealth.com/consultants/dr-fiona-cowan","Gynaecology; Psychosexual Therapy","Wessex Hospital","Yes","7","5"
"Dr  Fizzah  Choudry","https://www.nuffieldhealth.com/consultants/dr-fizzah-choudry","Cardiology","Brentwood Hospital","Yes","27","2"
